wave,m1,m2,m3,m4,m5,m6,s1,s2,s3,s4,s5,s6,t1,t2,t3,t4,t5,t6,date
640,2.97428571428571,4.57142857142857,4.73857142857143,7.30714285714286,4.23857142857143,5.97714285714286,3.29571428571429,6.05857142857143,3.39142857142857,4.78,4.50714285714286,4.45285714285714,5.56714285714286,4.99142857142857,4.99428571428571,2.84285714285714,5.67428571428571,2.69428571428571,2016-05-03
650,2.89875,4.4725,4.50125,7.22875,4.13625,5.95875,3.245,5.9775,3.34625,4.68375,4.45625,4.39,5.275,4.66125,4.84,2.78625,5.545,2.61875,2016-05-03
660,2.79571428571429,4.32,4.22142857142857,7.08571428571429,3.96,5.86428571428571,3.16142857142857,5.82428571428571,3.27142857142857,4.56142857142857,4.36285714285714,4.28714285714286,4.92285714285714,4.25714285714286,4.59428571428571,2.64142857142857,5.38,2.51714285714286,2016-05-03
670,2.75,4.26125,4.01375,7.0025,3.88625,5.88625,3.13125,5.7375,3.26125,4.4875,4.33375,4.26,4.69,3.97375,4.50375,2.54375,5.2125,2.47875,2016-05-03
680,2.93142857142857,4.39857142857143,4.28142857142857,7.26428571428571,4.02428571428571,6.08142857142857,3.25,5.98285714285714,3.37,4.66857142857143,4.43285714285714,4.35857142857143,5.14571428571429,4.39,4.75,2.74,5.57571428571429,2.61714285714286,2016-05-03
690,3.52714285714286,5.04714285714286,5.28714285714286,7.96428571428571,4.62857142857143,6.71714285714286,3.72714285714286,6.59142857142857,3.81142857142857,5.20428571428571,4.83,4.81,6.88571428571429,6.12,5.85285714285714,3.23285714285714,6.45142857142857,3.20142857142857,2016-05-03
700,4.71625,6.17625,7.11875,9.1725,5.7625,7.78375,4.60875,7.61125,4.57375,6.19375,5.43875,5.6025,10.23,9.1875,7.85,3.90375,7.98125,4.385,2016-05-03
710,6.11,7.35285714285714,8.92571428571429,10.4471428571429,6.99285714285714,8.87571428571429,5.50428571428571,8.62714285714286,5.38142857142857,7.24571428571429,6.04714285714286,6.45285714285714,13.6871428571429,12.3471428571429,9.96285714285714,4.49285714285714,9.60428571428571,5.8,2016-05-03
720,7.7325,8.585,10.76875,11.86,8.30375,10.0675,6.345,9.6,6.1875,8.335,6.6325,7.3175,17.28875,15.6825,12.2625,5.08875,11.47,7.47125,2016-05-03
730,9.36625,9.6825,12.375,13.1225,9.5225,11.13875,7.1525,10.45125,6.96625,9.3875,7.17875,8.155,20.6325,18.70125,14.345,5.60875,13.19125,9.18625,2016-05-03
